upload,uploads,uploading,uploaded
elaborate,elaborates,elaborating,elaborated
yield,yields,yielding,yielded
force-ripe,force-ripes,force-riping,force-riped,force-riped
scutter,scutters,scuttering,scuttered
rebel,rebels,rebelling,rebelled
exuviate,exuviates,exuviating,exuviated
misprize,misprizes,misprizing,misprized
divide,divides,dividing,divided
lengthen,lengthens,lengthening,lengthened
replace,replaces,replacing,replaced
telemeter,telemeters,telemetering,telemetered
perennate,perennates,perennating,perennated
blunge,blunges,blunging,blunged
discommon,discommons,discommoning,discommoned
browse,browses,browsing,browsed
exhort,exhorts,exhorting,exhorted
gradate,gradates,gradating,gradated
untie,unties,untying,untied
telegraph,telegraphs,telegraphing,telegraphed
strike,strikes,striking,struck
relay,relays,relaying,relayed
desalt,desalts,desalting,desalted
mesmerize,mesmerizes,mesmerizing,mesmerized
sortie,sorties,sortieing,sortied
holp,holps,holping,holped
glass,glasses,glassing,glassed
export,exports,exporting,exported
hurl,hurls,hurling,hurled
hole,holes,holing,holed
hold,holds,holding,held
unpack,unpacks,unpacking,unpacked
simper,simpers,simpering,simpered
pursue,pursues,pursuing,pursued
debark,debarks,debarking,debarked
sweeten,sweetens,sweetening,sweetened
straddle,straddles,straddling,straddled
hamshackle,hamshackles,hamshackling,hamshackled
vow,vows,vowing,vowed
reword,rewords,rewording,reworded
shelve,shelves,shelving,shelved
exhale,exhales,exhaling,exhaled
rework,reworks,reworking,reworked
scavenge,scavenges,scavenging,scavenged
phrase,phrases,phrasing,phrased
triple,triples,tripling,tripled
wane,wanes,waning,waned
wank,wanks,wanking,wanked
malign,maligns,maligning,maligned
caution,cautions,cautioning,cautioned
want,wants,wanting,wanted
truncheon,truncheons,truncheoning,truncheoned
dele,deles,deleing,deled
reprove,reproves,reproving,reproved
dyke,dykes,dyking,dyked
hog,hogs,hogging,hogged
hoe,hoes,hoing,hoed
hob,hobs,hobbing,hobbed
unclothe,unclothes,unclothing,unclothed
dimple,dimples,dimpling,dimpled
travel,travels,travelling,travelled
peregrinate,peregrinates,peregrinating,peregrinated
damage,damages,damaging,damaged
cutback,cutbacks,cutbacking,cutbacked
revisit,revisits,revisiting,revisited
machine,machines,machining,machined
playback,playbacks,playbacking,playbacked
hop,hops,hopping,hopped
hyposensitize,hyposensitizes,hyposensitizing,hyposensitized
classify,classifies,classifying,classified
turmoil,turmoils,turmoiling,turmoiled
swing,swings,swinging,swung
outfight,outfights,outfighting,outfought
diagram,diagrams,diagramming,diagrammed
wrong,wrongs,wronging,wronged
chump,chumps,chumping,chumped
warble,warbles,warbling,warbled
marginalize,marginalizes,marginalizing,marginalized
scourge,scourges,scourging,scourged
revolt,revolts,revolting,revolted
season,seasons,seasoning,seasoned
wink,winks,winking,winked
wing,wings,winging,winged
squint,squints,squinting,squinted
wine,wines,wining,wined
triturate,triturates,triturating,triturated
transect,transects,transecting,transected
confederate,confederates,confederating,confederated
vary,varies,varying,varied
stagemanage,stagemanages,stagemanaging,stagemanaged
handcuff,handcuffs,handcuffing,handcuffed
butcher,butchers,butchering,butchered
wrought,wroughts,wroughting,wroughted
contuse,contuses,contusing,contused
entrammel,entrammels,entrammelling,entrammelled
fix,fixes,fixing,fixed
baste,bastes,basting,basted
secede,secedes,seceding,seceded
fib,fibs,fibbing,fibbed
fig,figs,figging,figged
transvalue,transvalues,transvaluing,transvalued
fin,fins,finning,finned
undercut,undercuts,undercutting,undercut
glorify,glorifies,glorifying,glorified
unpeg,unpegs,unpegging,unpegged
enrich,enriches,enriching,enriched
slate,slates,slating,slated
decarbonize,decarbonizes,decarbonizing,decarbonized
commemorate,commemorates,commemorating,commemorated
memorialize,memorializes,memorializing,memorialized
confute,confutes,confuting,confuted
interrupt,interrupts,interrupting,interrupted
silver,silvers,silvering,silvered
rumour,rumours,rumouring,rumoured
defecate,defecates,defecating,defecated
debut,debuts,debuting,debuted
debus,debuses,debusing,debused
debug,debugs,debugging,debugged
gumshoe,gumshoes,gumshoeing,gumshoed
toll,tolls,tolling,tolled
telescope,telescopes,telescoping,telescoped
swathe,swathing,swathed
knockout
garment,garments,garmenting,garmented
exhume,exhumes,exhuming,exhumed
whizz,whizzes,whizzing,whizzed
ameliorate,ameliorates,ameliorating,ameliorated
allay,allays,allaying,allayed
whirr,whirs,whirring,whirred
ring,rings,ringing,rung
overwrite,overwrites,overwriting,overwrote,overwritten
smirk,smirks,smirking,smirked
waive,waives,waiving,waived
freeze,freezes,freezing,frozen
mason,masons,masoning,masoned
unclog,unclogs,unclogging,unclogged
nomadize,nomadizes,nomadizing,nomadized
encourage,encourages,encouraging,encouraged
adapt,adapts,adapting,adapted
teeter,teeters,teetering,teetered
smart,smarts,smarting,smarted
waddle,waddles,waddling,waddled
roquet,roquets,roqueting,roqueted
inscribe,inscribes,inscribing,inscribed
outmarch,outmarches,outmarching,outmarched
broil,broils,broiling,broiled
knit,knits,knitting,knitted
quickstep,quicksteps,quickstepping,quickstepped
interpage,interpages,interpaging,interpaged
superscribe,superscribes,superscribing,superscribed
connive,connives,conniving,connived
machinegun,machineguns,machineguning,machineguned
untread,untreads,untreading,untrodden
spindle,spindles,spindling,spindled
symbolize,symbolizes,symbolizing,symbolized
stripe,stripes,striping,striped
deforce,deforces,deforcing,deforced
ogle,ogles,ogling,ogled
haggle,haggles,haggling,haggled
goggle,goggles,goggling,goggled
misplace,misplaces,misplacing,misplaced
procreate,procreates,procreating,procreated
wash,washes,washing,washed
instruct,instructs,instructing,instructed
declaim,declaims,declaiming,declaimed
service,services,servicing,serviced
replevin,replevins,replevining,replevined
aircondition,airconditions,airconditioning,airconditioned
traumatize,traumatizes,traumatizing,traumatized
rone,rones,roning,roned
stack,stacks,stacking,stacked
master,masters,mastering,mastered
underlie,underlies,underlying,underlay,underlain
postulate,postulates,postulating,postulated
bitter,bitters,bittering,bittered
listen,listens,listening,listened
abirritate,abirritates,abirritating,abirritated
enthrall,enthrals,enthralling,enthralled
supercalender,supercalenders,supercalendering,supercalendered
innerve,innerves,innerving,innerved
emaciate,emaciates,emaciating,emaciated
task,tasks,tasking,tasked
crawl,crawls,crawling,crawled
white,whites,whiting,whited
trek,treks,trekking,trekked
outlay,outlays,outlaying,outlaid
outlaw,outlaws,outlawing,outlawed
tree,trees,treeing,treed
project,projects,projecting,projected
enwind,enwinds,enwinding,enwound
idle,idles,idling,idled
endure,endures,enduring,endured
halve,halving,halved
acclaim,acclaims,acclaiming,acclaimed
napalm,napalms,napalming,napalmed
hug,hugs,hugging,hugged
urinate,urinates,urinating,urinated
preponderate,preponderates,preponderating,preponderated
kayo,kayos,kayoing,kayoed
alkalize,alkalizes,alkalizing,alkalized
gripe,gripes,griping,griped
indite,indites,inditing,indited
ambuscade,ambuscades,ambuscading,ambuscaded
pander,panders,pandering,pandered
shall,shalls,shalling,shalled,shan't
overscore,overscores,overscoring,overscored
object,objects,objecting,objected
impropriate,impropriates,impropriating,impropriated
simplify,simplifies,simplifying,simplified
mouth,mouths,mouthing,mouthed
addict,addicts,addicting,addicted
letter,letters,lettering,lettered
fluster,flusters,flustering,flustered
shalt,shalts,shalting,shalted
encipher,enciphers,enciphering,enciphered
dummy,dummies,dummying,dummied
upend,upends,upending,upended
nasalize,nasalizes,nasalizing,nasalized
foist,foists,foisting,foisted
camp,camps,camping,camped
departmentalize,departmentalizes,departmentalizing,departmentalized
nettle,nettles,nettling,nettled
disaffect,disaffects,disaffecting,disaffected
consummate,consummates,consummating,consummated
screak,screaks,screaking,screaked
scream,screams,screaming,screamed
marvel,marvels,marvelling,marvelled
mortise,mortises,mortising,mortised
incorporate,incorporates,incorporating,incorporated
bomb,bombs,bombing,bombed
dicker,dickers,dickering,dickered
prig,prigs,prigging,prigged
reschedule,reschedules,rescheduling,rescheduled
concentre,concentres,concentring,concentred
striate,striates,striating,striated
participate,participates,participating,participated
caper,capers,capering,capered
busy,busies,busying,busied
headline,headlines,headlining,headlined
buss
faradize,faradizes,faradizing,faradized
bust,busts,busting,busted
busk,busks,busking,busked
bush,bushes,bushing,bushed
rick,ricks,ricking,ricked
mend,mends,mending,mended
rice,rices,ricing,riced
plate,plates,plating,plated
Gallicize,Gallicizes,Gallicizing,Gallicized,Gallicized
remarry,remarries,remarrying,remarried
preempt,preempts,preempting,preempted
denounce,denounces,denouncing,denounced
ceil,ceils,ceiling,ceiled
pocket,pockets,pocketing,pocketed
euphonize,euphonizes,euphonizing,euphonized
cushion,cushions,cushioning,cushioned
relish,relishes,relishing,relished
enrobe,enrobes,enrobing,enrobed
patch,patches,patching,patched
release,releases,releasing,released
urticate,urticates,urticating,urticated
hasten,hastens,hastening,hastened
respond,responds,responding,responded
traverse,traverses,traversing,traversed
fair,fairs,fairing,faired
clew,clews,clewing,clewed
result,results,resulting,resulted
clem,clems,clemming,clemmed
fail,fails,failing,failed
internationalize,internationalizes,internationalizing,internationalized
cockle,cockles,cockling,cockled
hammer,hammers,hammering,hammered
best,bests,besting,bested
irk,irks,irking,irked
flagellate,flagellates,flagellating,flagellated
scorn,scorns,scorning,scorned
vociferate,vociferates,vociferating,vociferated
pirate,pirates,pirating,pirated
hopple,hopples,hoppling,hoppled
wage,wages,waging,waged
pigstick,pigsticks,pigsticking,pigsticked
extend,extends,extending,extended
quadruplicate,quadruplicates,quadruplicating,quadruplicated
personalize,personalizes,personalizing,personalized
reconstitute,reconstitutes,reconstituting,reconstituted
wheelbarrow,wheelbarrows,wheelbarrowing,wheelbarrowed
downgrade,downgrades,downgrading,downgraded
wherrit,wherrits,wherriting,wherrited
pity,pities,pitying,pitied
veer,veers,veering,veered
disdain,disdains,disdaining,disdained
incense,incenses,incensing,incensed
pith,piths,pithing,pithed
sublime,sublimes,subliming,sublimed
argue,argues,arguing,argued
tinge,tinges,tingeing,tinged
schmooze,schmoozes,schmoozing,schmoozed
eradicate,eradicates,eradicating,eradicated
rehash,rehashes,rehashing,rehashed
examine-in-chief
vail,vails,vailing,vailed
extravasate,extravasates,extravasating,extravasated
agglomerate,agglomerates,agglomerating,agglomerated
factorize,factorizes,factorizing,factorized
escalade,escalades,escalading,escaladed
vitrify,vitrifies,vitrifying,vitrified
penalize,penalizes,penalizing,penalized
vellicate,vellicates,vellicating,vellicated
bewilder,bewilders,bewildering,bewildered
parley,parleys,parleying,parleyed
chrome,chromes,chroming,chromed
slay,slays,slaying,slew,slain
subside,subsides,subsiding,subsided
advert,adverts,adverting,adverted
privilege,privileges,privileging,privileged
fry,fries,frying,fried
mothball,mothballs,mothballing,mothballed
counterattack,counterattacks,counterattacking,counterattacked
dry,dries,drying,dried
retrospect,retrospects,retrospecting,retrospected
spit,spits,spitting,spit
intermarry,intermarries,intermarrying,intermarried
wish,wishes,wishing,wished
snap,snaps,snapping,snapped
joust,jousts,jousting,jousted
lift,lifts,lifting,lifted
incommode,incommodes,incommoding,incommoded
toboggan,toboggans,tobogganing,tobogganed
dote,dotes,doting,doted
spin,spins,spinning,spun
excorciate,excorciates,excorciating,excorciated
chill,chills,chilling,chilled
iodize,iodizes,iodizing,iodized
dissect,dissects,dissecting,dissected
overweigh,overweighs,overweighing,overweighed
employ,employs,employing,employed
prostrate,prostrates,prostrating,prostrated
bin,bins,binning,binned
phosphoresce,phosphoresces,phosphorescing,phosphoresced
characterize,characterizes,characterizing,characterized
elicit,elicits,eliciting,elicited
transfuse,transfuses,transfusing,transfused
hone,hones,honing,honed
credit,credits,crediting,credited
remand,remands,remanding,remanded
decant,decants,decanting,decanted
split,splits,splitting,split
heathenize,heathenizes,heathenizing,heathenized
personify,personifies,personifying,personified
pipette,pipettes,pipetting,pipetted
refit,refits,refitting,refitted
misdoubt,misdoubts,misdoubting,misdoubted
titivate,titivates,titivating,titivated
supper,suppers,suppering,suppered
tope,topes,toping,toped
tune,tunes,tuning,tuned
furlough,furloughs,furloughing,furloughed
jargonize,jargonizes,jargonizing,jargonized
cannibalize,cannibalizes,cannibalizing,cannibalized
unhook,unhooks,unhooking,unhooked
subpoena,subpoenas,subpoenaing,subpoenaed
abound,abounds,abounding,abounded
bellow,bellows,bellowing,bellowed
distribute,distributes,distributing,distributed
beset,besets,besetting,beset
disguise,disguises,disguising,disguised
prognosticate,prognosticates,prognosticating,prognosticated
plight,plights,plighting,plighted
brandish,brandishes,brandishing,brandished
lasso,lassos,lassoing,lassoed
indue,indues,induing,indued
ham,hams,hamming,hammed
aquaplane,aquaplanes,aquaplaning,aquaplaned
ease,eases,easing,eased
hay,hays,haying,hayed
falter,falters,faltering,faltered
hat,hats,hatting,hatted
haw,haws,hawing,hawed
footle,footles,footling,footled
testfire,testfires,testfiring,testfired
collectivize,collectivizes,collectivizing,collectivized
birth,births,birthing,birthed
roister,roisters,roistering,roistered
shadow,shadows,shadowing,shadowed
summons,summonses,summonsing,summonsed
desire,desires,desiring,desired
seek,seeks,seeking,sought
disaccustom,disaccustoms,disaccustoming,disaccustomed
altercate,altercates,altercating,altercated
remind,reminds,reminding,reminded
sectarianize,sectarianizes,sectarianizing,sectarianized
prologue,prologues,prologuing,prologued
right,rights,righting,righted
crowd,crowds,crowding,crowded
people,peoples,peopling,peopled
scathe,scathes,scathing,scathed
crown,crowns,crowning,crowned
outgeneral,outgenerals,outgeneralling,outgeneralled
mishit,mishits,mishitting,mishit
desensitize,desensitizes,desensitizing,desensitized
demineralize,demineralizes,demineralizing,demineralized
prick,pricks,pricking,pricked
animate,animates,animating,animated
creep,creeps,creeping,crept
chorus,choruses,chorusing,chorused
blackleg,blacklegs,blacklegging,blacklegged
rehearse,rehearses,rehearsing,rehearsed
fox,foxes,foxing,foxed
subclass,subclasses,subclassing,subclassed
fog,fogs,fogging,fogged
fob,fobs,fobbing,fobbed
germinate,germinates,germinating,germinated
preside,presides,presiding,presided
collet,collets,colleting,colleted
trampoline,trampolines,trampolining,trampolined
regorge,regorges,regorging,regorged
yoke,yokes,yoking,yoked
digitalize,digitalizes,digitalizing,digitalized
intenerate,intenerates,intenerating,intenerated
slither,slithers,slithering,slithered
lackey,lackeys,lackeying,lackeyed
autotomize,autotomizes,autotomizing,autotomized
recollect,recollects,recollecting,recollected
reticulate,reticulates,reticulating,reticulated
Platonize,Platonizes,Platonizing,Platonized,Platonized
meddle,meddles,meddling,meddled
sob,sobs,sobbing,sobbed
overshadow,overshadows,overshadowing,overshadowed
honeymoon,honeymoons,honeymooning,honeymooned
overgrow,overgrows,overgrowing,overgrew,overgrown
administer,administers,administering,administered
multiply,multiplies,multiplying,multiplied
inhume,inhumes,inhuming,inhumed
swelter,swelters,sweltering,sweltered
sow,sows,sowing,sowed,sown
mambo,mambos,mamboing,mamboed
resile,resiles,resiling,resiled
nid-nod,nid-nods,nid-nodding,nid-nodded,nid-nodded
hallo,hallos
suffice,suffices,sufficing,sufficed
decussate,decussates,decussating,decussated
tame,tames,taming,tamed
avail,avails,availing,availed
furcate,furcates,furcating,furcated
tamp,tamps,tamping,tamped
overhand,overhands,overhanding,overhanded
overhang,overhangs,overhanging,overhung
subtend,subtends,subtending,subtended
bowse,bowses,bowsing,bowsed
offer,offers,offering,offered
unroot,unroots,unrooting,unrooted
straggle,straggles,straggling,straggled
safeguard,safeguards,safeguarding,safeguarded
duel,duels,duelling,duelled
misinform,misinforms,misinforming,misinformed
transliterate,transliterates,transliterating,transliterated
pontificate,pontificates,pontificating,pontificated
communize,communizes,communizing,communized
discountenance,discountenances,discountenancing,discountenanced
disgrace,disgraces,disgracing,disgraced
sight,sights,sighting,sighted
suborn,suborns,suborning,suborned
unnerve,unnerves,unnerving,unnerved
grabble,grabbles,grabbling,grabbled
crumble,crumbles,crumbling,crumbled
soothe,soothes,soothing,soothed
exist,exists,existing,existed
splotch,splotches,splotching,splotched
blackmarket,blackmarkets,blackmarketing,blackmarketed
leer,leers,leering,leered
floor,floors,flooring,floored
canonize,canonizes,canonizing,canonized
relax,relaxes,relaxing,relaxed
flood,floods,flooding,flooded
desecrate,desecrates,desecrating,desecrated
plasmolyze,plasmolyzes,plasmolyzing,plasmolyzed
snick,snicks,snicking,snicked
smell,smells,smelling,smelt,smelled
circumcise,circumcises,circumcising,circumcised
's,'s,'s
gettogether
valuate,valuates,valuating,valuated
asterisk,asterisks,asterisking,asterisked
superadd,superadds,superadding,superadded
substract,substracts,substracting,substracted
foxhunt,foxhunts,foxhunting,foxhunted
objectify,objectifies,objectifying,objectified
snooze,snoozes,snoozing,snoozed
intrust,intrusts,intrusting,intrusted
hurt,hurts,hurting,hurt
warn,warns,warning,warned
diadem,diadems,diademing,diademed
time,times,timing,timed
push,pushes,pushing,pushed
frenzy,frenzies,frenzying,frenzied
gown,gowns,gowning,gowned
moither,moithers,moithering,moithered
chain,chains,chaining,chained
interspace,interspaces,interspacing,interspaced
ruddle,ruddles,ruddling,ruddled
avalanche,avalanches,avalanching,avalanched
peninsulate,peninsulates,peninsulating,peninsulated
convoy,convoys,convoying,convoyed
chair,chairs,chairing,chaired
retrofit,retrofits,retrofitting,retrofitted
vet,vets,vetting,vetted
freelance,freelances,freelancing,freelanced
vex,vexes,vexing,vexed
crater,craters,cratering,cratered
syllogize,syllogizes,syllogizing,syllogized
splutter,splutters,spluttering,spluttered
persevere,perseveres,persevering,persevered
ingather,ingathers,ingathering,ingathered
jerk,jerks,jerking,jerked
argufy,argufies,argufying,argufied
refinance,refinances,refinancing,refinanced
embark,embarks,embarking,embarked
rook,rooks,rooking,rooked
mourn,mourns,mourning,mourned
bustle,bustles,bustling,bustled
exact,exacts,exacting,exacted
overstock,overstocks,overstocking,overstocked
giftwrap,giftwraps,giftwrapping,giftwrapped
disembody,disembodies,disembodying,disembodied
re-cede,re-cedes,re-ceding,receded,re-ceded
tricycle,tricycles,tricycling,tricycled
tear,tears,tearing,tore,torn
folk-dance,folk-dances,folk-dancing,folk-danced,folk-danced
overarch,overarches,overarching,overarched
larn,larns,larning,larned
leave,leaves,leaving,leaved
settle,settles,settling,settled
stockade,stockades,stockading,stockaded
insufflate,insufflates,insufflating,insufflated
skewer,skewers,skewering,skewered
gasify,gasifies,gasifying,gasified
re-join,re-joins,re-joining,rejoined,re-joined
torrify,torrifies,torrifying,torrified
sigh,sighs,sighing,sighed
sign,signs,signing,signed
Islamize,Islamizes,Islamizing,Islamized,Islamized
educate,educates,educating,educated
sequestrate,sequestrates,sequestrating,sequestrated
convulse,convulses,convulsing,convulsed
melt,melts,melting,melted,molten
wriggle,wriggles,wriggling,wriggled
jog-trot,jog-trots,jog-trotting,jog-trotted,jog-trotted
boost,boosts,boosting,boosted
accoutre,accoutres,accoutring,accoutred
osmose,osmoses,osmosing,osmosed
abscond,absconds,absconding,absconded
honour,honours,honouring,honoured
contemplate,contemplates,contemplating,contemplated
snack,snacks,snacking,snacked
splice,splices,splicing,spliced
address,addresses,addressing,addrest
sublease,subleases,subleasing,subleased
enroll,enrols,enrolling,enrolled
halogenate,halogenates,halogenating,halogenated
fledge,fledges,fledging,fledged
root,roots,rooting,rooted
queue,queues,queueing,queueed
coextend,coextends,coextending,coextended
solarize,solarizes,solarizing,solarized
roughdry,roughdries,roughdrying,roughdried
etherify,etherifies,etherifying,etherified
respite,respites,respiting,respited
love,loves,loving,loved
proportion,proportions,proportioning,proportioned
prefer,prefers,preferring,preferred
bloody,bloodies,bloodying,bloodied
abash,abashes,abashing,abashed
fake,fakes,faking,faked
encyst,encysts,encysting,encysted
unlash,unlashes,unlashing,unlashed
abase,abases,abasing,abased
engrail,engrails,engrailing,engrailed
dangle,dangles,dangling,dangled
crash-dive,crash-dives',crash-diving,crash-dived,crash-dived
annunciate,annunciates,annunciating,annunciated
afford,affords,affording,afforded
reprise,reprises,reprising,reprised
refrain,refrains,refraining,refrained
degrade,degrades,degrading,degraded
involve,involves,involving,involved
embower,embowers,embowering,embowered
pretend,pretends,pretending,pretended
strain,strains,straining,strained
dissimilate,dissimilates,dissimilating,dissimilated
dispossess,dispossesses,dispossessing,dispossessed
circumambulate,circumambulates,circumambulating,circumambulated
reforest,reforests,reforesting,reforested
deschool,deschools,deschooling,deschooled
parachute,parachutes,parachuting,parachuted
reestablish,reestablishes,reestablishing,reestablished
evite,evites,eviting,evited
emotionalize,emotionalizes,emotionalizing,emotionalized
disprize,disprizes,disprizing,disprized
winter,winters,wintering,wintered
ambush,ambushes,ambushing,ambushed
crossrefer,crossrefers,crossrefering,crossrefered
splodge,splodges,splodging,splodged
cavil,cavils,cavilling,cavilled
overissue,overissues,overissuing,overissued
spot,spots,spotting,spotted,spotcheck
rehabilitate,rehabilitates,rehabilitating,rehabilitated
dropkick,dropkicks,dropkicking,dropkicked
outthink,outthinks,outthinking,outthought
date,dates,dating,dated
suck,sucks,sucking,sucked
journalize,journalizes,journalizing,journalized
stress,stresses,stressing,stressed
correlate,correlates,correlating,correlated
truck,trucks,trucking,trucked
skirmish,skirmishes,skirmishing,skirmished
feature,features,featuring,featured
course,courses,coursing,coursed
yearn,yearns,yearning,yearned
bastardize,bastardizes,bastardizing,bastardized
horrify,horrifies,horrifying,horrified
mishear,mishears,mishearing,misheard
bulldoze,bulldozes,bulldozing,bulldozed
jig,jigs,jigging,jigged
derive,derives,deriving,derived
disconnect,disconnects,disconnecting,disconnected
solace,solaces,solacing,solaced
stroll,strolls,strolling,strolled
thump,thumps,thumping,thumped
petition,petitions,petitioning,petitioned
apron,aprons,aproning,aproned
smarten,smartens,smartening,smartened
babysit,babysits,babysitting,babysat
bedevil,bedevils,bedevilling,bedevilled
sublimate,sublimates,sublimating,sublimated
hiccough,hiccoughs,hiccoughing,hiccoughed
plunk,plunks,plunking,plunked
revert,reverts,reverting,reverted
englut,engluts,englutting,englutted
amnesty,amnesties,amnestying,amnestied
quarter,quarters,quartering,quartered
revere,reveres,revering,revered
turtle,turtles,turtling,turtled
concertina,concertinas,concertinaing,concertinaed
square,squares,squaring,squared
retrieve,retrieves,retrieving,retrieved
edify,edifies,edifying,edified
receipt,receipts,receipting,receipted
fireproof,fireproofs,fireproofing,fireproofed
asseverate,asseverates,asseverating,asseverated
inhere,inheres,inhering,inhered
beetle,beetles,beetling,beetled
propitiate,propitiates,propitiating,propitiated
troll,trolls,trolling,trolled
jounce,jounces,jouncing,jounced
besprinkle,besprinkles,besprinkling,besprinkled
abide,abides,abiding,abode
spur,spurs,spurring,spurred
intermix,intermixes,intermixing,intermixed
intermit,intermits,intermitting,intermitted
hibernate,hibernates,hibernating,hibernated
dumfound,dumfounds,dumfounding,dumfounded
Braille,Brailles,Brailling,Brailled,Brailled
envelop,envelops,enveloping,enveloped
reshuffle,reshuffles,reshuffling,reshuffled
disrespect,disrespects,disrespecting,disrespected
snooker,snookers,snookering,snookered
jockey,jockeys,jockeying,jockeyed
mime,mimes,miming,mimed
remainder,remainders,remaindering,remaindered
dog-paddle,dog-paddles,dog-paddling,dog-paddled,dog-paddled
gaff,gaffs,gaffing,gaffed
bluepencil,bluepencils,bluepenciling,bluepenciled
chevy,chevies,chevying,chevied
initiate,initiates,initiating,initiated
enkindle,enkindles,enkindling,enkindled
punt,punts,punting,punted
calque,calques,calquing,calqued
solubilize,solubilizes,solubilizing,solubilized
neglect,neglects,neglecting,neglected
sock,socks,socking,socked
unloosen,unlooses,unloosing,unloosened
potter,potters,pottering,pottered
reopen,reopens,reopening,reopened
sjambok,sjamboks,sjamboking,sjamboked
submit,submits,submitting,submitted
croup,croups,crouping,crouped
open,opens,opening,opened
summarize,summarizes,summarizing,summarized
languish,languishes,languishing,languished
bite,bites,biting,bited,bitten
dandify,dandifies,dandifying,dandified
indicate,indicates,indicating,indicated
shiver,shivers,shivering,shivered
draft,drafting,drafted
dissipate,dissipates,dissipating,dissipated
convene,convenes,convening,convened
bitt,bitts
cite,cites,citing,cited
unmoor,unmoors,unmooring,unmoored
demonetize,demonetizes,demonetizing,demonetized
blazon,blazons,blazoning,blazoned
bump-start,bump-starts,bump-starting,bump-started,bump-started
re-act,re-acts,re-acting,reacted,re-acted
snatch,snatches,snatching,snatched
indwell,indwells,indwelling,indwelt
poultice,poultices,poulticing,poulticed
carbonize,carbonizes,carbonizing,carbonized
translate,translates,translating,translated
cower,cowers,cowering,cowered
stammer,stammers,stammering,stammered
winkle,winkles,winkling,winkled
Africanize,Africanizes,Africanizing,Africanized,Africanized
prospect,prospects,prospecting,prospected
smutch,smutches,smutching,smutched
sag,sags,sagging,sagged
necrose,necroses,necrosing,necrosed
say,says,saying,said
sap,saps,sapping,sapped
saw,saws,sawing,sawed,sawn
perplex,perplexes,perplexing,perplexed
aspirate,aspirates,aspirating,aspirated
knead,kneads,kneading,kneaded
retroact,retroacts,retroacting,retroacted
note,notes,noting,noted
unlearn,unlearns,unlearning,unlearnt
maintain,maintains,maintaining,maintained
take,takes,taking,took,taken
destroy,destroys,destroying,destroyed
coincide,coincides,coinciding,coincided
unfix,unfixes,unfixing,unfixed
buffer,buffers,buffering,buffered
slump,slumps,slumping,slumped
compress,compresses,compressing,compressed
buffet,buffets,buffeting,buffeted
abut,abuts,abutting,abutted
crochet,crochets,crocheting,crocheted
putput,putputs,putputting,putputted
hot-press,hot-presses,hot-pressing,hot-pressed,hot-pressed
chomp,chomps,chomping,chomped
illuse,illuses,illusing,illused
operate,operates,operating,operated
enamel,enamels,enamelling,enamelled
energize,energizes,energizing,energized
average,averages,averaging,averaged
drive,drives,driving,drove,driven
wind,winds,winding,wound
axe,axes,axing,axed
salt,salts,salting,salted
intoxicate,intoxicates,intoxicating,intoxicated
tumefy,tumefies,tumefying,tumefied
infuriate,infuriates,infuriating,infuriated
mince,minces,mincing,minced
merit,merits,meriting,merited
underlet,underlets,underletting,underlet
dialogize,dialogizes,dialogizing,dialogized
slot,slots,slotting,slotted
outspan,outspans,outspanning,outspanned
